Block,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,CodeSum_BR,CodeSum_DZ,CodeSum_DZ BR,CodeSum_RA,CodeSum_RA BR,CodeSum_RA DZ,CodeSum_RA DZ BR,CodeSum_TS,CodeSum_TS BR,CodeSum_TS RA,CodeSum_TS RA BR,Daylight,Year,Month,Day,Species_no_wnv_bug,Species_wnv_bug
41,002,41.95469,-87.800991,9,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,0,1
41,002,41.95469,-87.800991,9,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
62,007,41.994991,-87.769279,9,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
79,015,41.974089,-87.824812,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,0,1
79,015,41.974089,-87.824812,8,4,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
15,045,41.9216,-87.666455,8,2,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
25,046,41.891118,-87.65449100000001,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
11,048,41.867108,-87.654224,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,0,1
11,048,41.867108,-87.654224,8,2,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
11,049,41.896282,-87.655232,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
21,050,41.919343,-87.694259,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,0,1
22,054,41.921965,-87.632085,8,2,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,0,1
22,054,41.921965,-87.632085,8,3,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
22,086,41.688324,-87.676709,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,0,1
22,086,41.688324,-87.676709,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
11,091,41.862292,-87.64886,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
17,094,41.720848,-87.666014,9,3,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
22,096,41.731922,-87.677512,8,5,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
22,096,41.731922,-87.677512,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,0,1
53,129,41.891126,-87.61156,5,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,0,1
53,129,41.891126,-87.61156,5,2,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
65,143,41.999128999999996,-87.795585,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,0,1
75,148,42.01743,-87.68776899999999,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,0,1
15,153,41.907645,-87.760886,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
