,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Daylight,CodeSum_BR,CodeSum_DZ,CodeSum_DZ BR,CodeSum_RA,CodeSum_RA BR,CodeSum_RA DZ,CodeSum_RA DZ BR,CodeSum_TS,CodeSum_TS BR,CodeSum_TS RA,CodeSum_TS RA BR
0,2007-05-01,83,50,67,14,51,56,0,2,0.0,29.1,29.82,1.7,27,9.2,1401,0,0,0,0,0,0,0,0,0,0,0
2,2007-05-02,59,42,51,-3,42,47,14,0,0.0,29.38,30.09,13.0,4,13.4,1403,1,0,0,0,0,0,0,0,0,0,0
4,2007-05-03,66,46,56,2,40,48,9,0,0.0,29.39,30.12,11.7,7,11.9,1405,0,0,0,0,0,0,0,0,0,0,0
6,2007-05-04,66,49,58,4,41,50,7,0,0.0,29.31,30.05,10.4,8,10.8,1408,0,0,0,1,0,0,0,0,0,0,0
8,2007-05-05,66,53,60,5,38,49,5,0,0.0,29.4,30.1,11.7,7,12.0,1410,0,0,0,0,0,0,0,0,0,0,0
10,2007-05-06,68,49,59,4,30,46,6,0,0.0,29.57,30.29,14.4,11,15.0,1413,0,0,0,0,0,0,0,0,0,0,0
12,2007-05-07,83,47,65,10,41,54,0,0,0.0,29.38,30.12,8.6,18,10.5,1415,0,0,0,1,0,0,0,0,0,0,0
14,2007-05-08,82,54,68,12,58,62,0,3,0.0,29.29,30.03,2.7,11,5.8,1418,1,0,0,0,0,0,0,0,0,0,0
16,2007-05-09,77,61,69,13,59,63,0,4,0.13,29.21,29.94,3.9,9,6.2,1420,1,0,0,0,0,0,0,0,0,0,0
18,2007-05-10,84,56,70,14,52,60,0,5,0.0,29.2,29.92,0.7,17,4.1,1422,1,0,0,0,0,0,0,0,0,0,0
20,2007-05-11,70,51,61,4,42,51,4,0,0.0,29.33,30.04,11.3,3,12.9,1424,0,0,0,0,0,0,0,0,0,0,0
22,2007-05-12,64,46,55,-2,36,46,10,0,0.0,29.49,30.2,12.4,3,12.9,1466,0,0,0,0,0,0,0,0,0,0,0
24,2007-05-13,69,43,56,-2,33,46,9,0,0.0,29.49,30.24,6.6,14,8.1,1468,0,0,0,0,0,0,0,0,0,0,0
26,2007-05-14,90,56,73,15,47,59,0,8,0.0,29.23,29.97,16.9,21,17.3,1470,0,0,0,0,0,0,0,0,0,0,0
28,2007-05-15,80,57,69,11,56,61,0,4,0.38,29.13,29.84,8.1,27,12.3,1472,0,0,0,0,1,0,0,0,0,0,0
30,2007-05-16,66,44,55,-4,43,48,10,0,0.14,29.33,30.03,7.8,36,12.2,1474,0,0,0,0,1,0,0,0,0,0,0
32,2007-05-17,62,43,53,-6,32,43,12,0,0.0,29.55,30.27,10.5,3,11.3,1476,0,0,0,0,0,0,0,0,0,0,0
34,2007-05-18,71,42,57,-3,30,46,8,0,0.0,29.53,30.25,5.4,25,7.5,1478,0,0,0,0,0,0,0,0,0,0,0
